Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2019-04-04,35.0211,36.7089,28.27,6.751099999999997,0.7056899999999996,2879.389892578125,2879.389892578125,2879.389892578125
2019-04-11,40.2878,39.3285,20.3837,19.904100000000007,2.79517,2888.320068359375,2888.320068359375,2888.320068359375
2019-04-18,37.5635,40.6091,21.8274,15.736099999999997,3.86158,2905.030029296875,2905.030029296875,2905.030029296875
2019-04-25,33.5227,46.3068,20.1705,13.3522,4.15685,2926.169921875,2926.169921875,2926.169921875
2019-05-02,39.0244,39.6341,21.3415,17.6829,6.4393,2917.52001953125,2917.52001953125,2917.52001953125
2019-05-09,43.1159,33.6957,23.1884,19.9275,8.557295,2870.719970703125,2870.719970703125,2870.719970703125
2019-05-16,29.8246,30.8772,39.2982,-9.4736,9.021115,2876.320068359375,2876.320068359375,2876.320068359375
2019-05-23,24.7059,39.2157,36.0784,-11.372500000000002,8.939910000000001,2822.239990234375,2822.239990234375,2822.239990234375
2019-05-30,24.7934,35.124,40.0826,-15.2892,7.720905,2788.860107421875,2788.860107421875,2788.860107421875
2019-06-06,22.5275,34.890100000000004,42.5824,-20.0549,6.854115,2843.489990234375,2843.489990234375,2843.489990234375
2019-06-13,26.839800000000004,38.961,34.1991,-7.359299999999997,6.218975000000001,2891.639892578125,2891.639892578125,2891.639892578125
2019-06-20,29.5082,38.3607,32.1311,-2.6229000000000013,6.08783,2954.179931640625,2954.179931640625,2954.179931640625
2019-06-27,29.589,38.3562,32.0548,-2.465800000000001,5.110110000000001,2924.919921875,2924.919921875,2924.919921875
2019-07-03,33.1551,34.492,32.3529,0.8021999999999991,4.648745,2995.820068359375,2995.820068359375,2995.820068359375
2019-07-11,33.6111,38.8889,27.500000000000004,6.111099999999997,4.2577050000000005,2999.909912109375,2999.909912109375,2999.909912109375
2019-07-18,35.9296,35.4271,28.6432,7.2864,3.540390000000001,2995.110107421875,2995.110107421875,2995.110107421875
2019-07-25,31.7416,36.236,32.0225,-0.2809000000000026,2.9944300000000004,3003.669921875,3003.669921875,3003.669921875
2019-08-01,38.4375,37.5,24.0625,14.375,3.6449200000000004,2953.56005859375,2953.56005859375,2953.56005859375
2019-08-08,21.6561,30.1486,48.1953,-26.5392,1.623515,2938.090087890625,2938.090087890625,2938.090087890625
2019-08-15,23.176,31.974200000000003,44.8498,-21.673800000000004,0.2398249999999999,2847.60009765625,2847.60009765625,2847.60009765625
2019-08-22,26.6355,33.6449,39.7196,-13.0841,-0.7519349999999998,2922.949951171875,2922.949951171875,2922.949951171875
2019-08-29,26.1307,31.6583,42.2111,-16.0804,-2.5511600000000003,2924.580078125,2924.580078125,2924.580078125
2019-09-05,28.642,31.8519,39.5062,-10.8642,-3.8811750000000003,2976.0,2976.0,2976.0
2019-09-12,33.125,35.625,31.25,1.875,-4.4550350000000005,3009.570068359375,3009.570068359375,3009.570068359375
2019-09-19,35.338300000000004,36.8421,27.8195,7.518800000000002,-4.96324,3006.7900390625,3006.7900390625,3006.7900390625
2019-09-26,29.373700000000003,37.365,33.2613,-3.887599999999996,-6.153995,2977.6201171875,2977.6201171875,2977.6201171875
2019-10-03,21.374,39.1858,39.4402,-18.066199999999995,-6.583625,2910.6298828125,2910.6298828125,2910.6298828125
2019-10-10,20.3085,35.7326,43.9589,-23.6504,-7.19752,2938.1298828125,2938.1298828125,2938.1298828125
2019-10-17,33.6182,35.3276,31.0541,2.5641,-6.304855,2997.949951171875,2997.949951171875,2997.949951171875
2019-10-24,35.6021,36.1257,28.2723,7.329799999999999,-4.93562,3010.2900390625,3010.2900390625,3010.2900390625
2019-10-31,33.9759,37.5904,28.4337,5.542199999999994,-4.290545,3037.56005859375,3037.56005859375,3037.56005859375
2019-11-07,40.3023,35.7683,23.9295,16.3728,-3.3407599999999995,3085.179931640625,3085.179931640625,3085.179931640625
2019-11-14,40.7229,34.4578,24.8193,15.903600000000004,-2.4222899999999994,3096.6298828125,3096.6298828125,3096.6298828125
2019-11-21,34.2432,36.7246,29.0323,5.210900000000002,-2.2018549999999997,3103.5400390625,3103.5400390625,3103.5400390625
2019-11-29,33.6391,36.0856,30.2752,3.363899999999997,-2.3392149999999994,3140.97998046875,3140.97998046875,3140.97998046875
2019-12-05,31.7152,39.1586,29.1262,2.588999999999998,-2.5740849999999993,3117.429931640625,3117.429931640625,3117.429931640625
2019-12-12,37.6316,36.3158,26.0526,11.579,-1.9810899999999994,3168.570068359375,3168.570068359375,3168.570068359375
2019-12-19,44.0945,35.4331,20.4724,23.6221,-1.5187349999999993,3205.3701171875,3205.3701171875,3205.3701171875
2019-12-26,41.8879,36.5782,21.5339,20.354000000000003,0.8259250000000009,3239.909912109375,3239.909912109375,3239.909912109375
